SUB_TXT,STATION,DISTRICT,REGION
GWELUP,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
GWINDINUP,CAPEL,SOUTH WEST,REGIONAL WA REGION
H E HOLT NAVAL BASE,EXMOUTH,PILBARA,REGIONAL WA REGION
HACKETTS GULLY,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
HAIG,EUCLA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HAINAULT,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HALFWAY,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HALFWAY HOUSE,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
HALLOWELL,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
HALLS CREEK,HALLS CREEK,KIMBERLEY,REGIONAL WA REGION
HALLS HEAD,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
HAMEL,WAROONA,SOUTH WEST,REGIONAL WA REGION
HAMELIN,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
HAMELIN BAY,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
HAMELIN POOL,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
HAMELIN STATION,SHARK BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
HAMERSLEY,MIRRABOOKA,MIRRABOOKA,METROPOLITAN REGION NORTH
HAMERSLEY RANGE,PANNAWONICA,PILBARA,REGIONAL WA REGION
HAMERSLEY SIDING,YORK,WHEATBELT,REGIONAL WA REGION
HAMERSLEY STATION,PANNAWONICA,PILBARA,REGIONAL WA REGION
HAMILTON HILL,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
HAMMOND PARK,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
HAMPDEN,HARVEY,SOUTH WEST,REGIONAL WA REGION
HAMPTON CELEBRATION MINE,KAMBALDA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HAMPTON HILL STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HAMPTON PLAINS STATION,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HANN RIVER,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
HANNANS,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HANNS REWARD,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HAREWOOD,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
HARMANS,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
HARRINGTON ESTATE,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
HARRIS RIVER,COLLIE,SOUTH WEST,REGIONAL WA REGION
HARRIS RIVER DAM,COLLIE,SOUTH WEST,REGIONAL WA REGION
HARRISDALE,CANNING VALE,ARMADALE,METROPOLITAN REGION SOUTH
HARRISMITH,WICKEPIN,GREAT SOUTHERN,REGIONAL WA REGION
HARTLEA,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
HARVEY,HARVEY,SOUTH WEST,REGIONAL WA REGION
HARVEY BEACH,HARVEY,SOUTH WEST,REGIONAL WA REGION
HASTINGS,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
HATTER HILL,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
HATTERS HILL,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
HAY,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
HAY RIVER,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
HAYNES,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
HAYNESDALE,TAMBELLUP,GREAT SOUTHERN,REGIONAL WA REGION
HAZELMERE,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
HAZELVALE,WALPOLE,GREAT SOUTHERN,REGIONAL WA REGION
HEARSON COVE,DAMPIER,PILBARA,REGIONAL WA REGION
HEARSON VILLAGE,DAMPIER,PILBARA,REGIONAL WA REGION
HEATHRIDGE,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
HEIRISSON ISLAND,PERTH,PERTH,METROPOLITAN REGION NORTH
HELENA VALLEY,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
HENDERSON,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
HENLEY BROOK,ELLENBROOK,MIDLAND,METROPOLITAN REGION NORTH
HENTY,CAPEL,SOUTH WEST,REGIONAL WA REGION
HERDSMAN,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
HERNE HILL,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
HERRON,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
HERRON POINT,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
HESTER,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
HESTER BROOK,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
HICKETY,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HIGGINSVILLE,KAMBALDA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HIGH WYCOMBE,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
HIGHBURY,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
HIGHGATE,PERTH,PERTH,METROPOLITAN REGION NORTH
HILBERT,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
HILL RIVER,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
HILLARYS,HILLARYS,JOONDALUP,METROPOLITAN REGION NORTH
HILLMAN,ROCKINGHAM,MANDURAH,METROPOLITAN REGION SOUTH
HILLMAN RIVER,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
HILLMAN WILLIAMS,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
HILLSIDE,NARROGIN,GREAT SOUTHERN,REGIONAL WA REGION
HILLSIDE STATION,NULLAGINE,PILBARA,REGIONAL WA REGION
HILLSPRING STATION,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
HILLVIEW STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
HILTON,PALMYRA,FREMANTLE,METROPOLITAN REGION SOUTH
HINDMARSH,DOWERIN,WHEATBELT,REGIONAL WA REGION
HINES HILL,MERREDIN,WHEATBELT,REGIONAL WA REGION
HITHERGREEN,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
HOCKING,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
HODDY WELL,TOODYAY,WHEATBELT,REGIONAL WA REGION
HODDYS WELL,TOODYAY,WHEATBELT,REGIONAL WA REGION
HOFFMAN,HARVEY,SOUTH WEST,REGIONAL WA REGION
HOLLAND ROCK,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
HOLLETON,SOUTHERN CROSS,WHEATBELT,REGIONAL WA REGION
HOLLY SIDING,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
HOLMES,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
HOLMWOOD,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
HOLT ROCK,KULIN,GREAT SOUTHERN,REGIONAL WA REGION
HOLYOAKE,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
HOME IS COCOS (KEELING),AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
HOME ISLAND COCOS (KEELING) ISLANDS,AUSTRALIAN FEDERAL POLICE,External Agency Access,RMIS Business Unit
HOME VALLEY,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
HOOLEY STATION,TOM PRICE,PILBARA,REGIONAL WA REGION
HOPE VALLEY,KWINANA,MANDURAH,METROPOLITAN REGION SOUTH
HOPELAND,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
HOPETOUN,HOPETOUN,GREAT SOUTHERN,REGIONAL WA REGION
HORROCKS,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HORSESHOE LIGHTS MINE,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
HORTONS,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
HOTHAM,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
HOUTMAN ABROLHOS,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HOUTMAN ABROLHOS ISLANDS,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HOVEA,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
HOWATHARRA,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HOWICK,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HOWICK HILL,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HULONGINE,GOOMALLING,WHEATBELT,REGIONAL WA REGION
HUNTINGDALE,CANNING VALE,ARMADALE,METROPOLITAN REGION SOUTH
HUNTLEY,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
HUNTS DAM,MERREDIN,WHEATBELT,REGIONAL WA REGION
HUNWICK,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
HURLEY'S REWARD,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
HUTT,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HUTT RIVER PROVINCE,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
HY-BRAZIL STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
HYDEN,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
HYDEN ROCK,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
IDA VALLEY STATION,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
IKEWA,MINGENEW,MID WEST-GASCOYNE,REGIONAL WA REGION
ILLAARA,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ILLAWARRA,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
ILLAWONG,LEEMAN,MID WEST-GASCOYNE,REGIONAL WA REGION
ILLGARARIE,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
ILUKA,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
INDA WINDY,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
INDARRA,MULLEWA,MID WEST-GASCOYNE,REGIONAL WA REGION
INDEE,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
INDEE STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
INGGARDA,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
INGLEHOPE,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
INGLEWOOD,BAYSWATER,MIRRABOOKA,METROPOLITAN REGION NORTH
INGLEWOOD STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
INJIDUP,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
INKPEN,YORK,WHEATBELT,REGIONAL WA REGION
INKPEN ESTATE,WUNDOWIE,WHEATBELT,REGIONAL WA REGION
INLET ESTATE,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
INNALOO,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
INNAWANGA,PARABURDOO,PILBARA,REGIONAL WA REGION
IOWNA STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
IRISHTOWN,NORTHAM,WHEATBELT,REGIONAL WA REGION
IRRIDA,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
IRWIN,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
IRWIN RIVER STATION,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
ISRAELITE BAY,ESPERANCE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
ISSEKA,NORTHAMPTON,MID WEST-GASCOYNE,REGIONAL WA REGION
IVANHOE CROSSING,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
IVANHOE STATION,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
JACKITUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
JACUP,JERRAMUNGUP,GREAT SOUTHERN,REGIONAL WA REGION
JALBARRAGUP,NANNUP,SOUTH WEST,REGIONAL WA REGION
JALORAN,WAGIN,GREAT SOUTHERN,REGIONAL WA REGION
JAMES PRICE POINT,BROOME,KIMBERLEY,REGIONAL WA REGION
JAMESON,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JANDABUP,WANNEROO,JOONDALUP,METROPOLITAN REGION NORTH
JANDAKOT,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
JANDAKOT AIRPORT,COCKBURN,FREMANTLE,METROPOLITAN REGION SOUTH
JANE BROOK,MIDLAND,MIDLAND,METROPOLITAN REGION NORTH
JARDEE,MANJIMUP,SOUTH WEST,REGIONAL WA REGION
JARLEMAI STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
JARLMADANGAH BURRU,LOOMA,KIMBERLEY,REGIONAL WA REGION
JARRAH GLEN,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
JARRAHDALE,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
JARRAHWOOD,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
JAURDIE HILLS,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JAYES,BOYUP BROOK,SOUTH WEST,REGIONAL WA REGION
JEEDAMYA STATION,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JELCOBINE,BROOKTON,GREAT SOUTHERN,REGIONAL WA REGION
JELKABINE,BROOKTON,GREAT SOUTHERN,REGIONAL WA REGION
JENNABERRING,QUAIRADING,WHEATBELT,REGIONAL WA REGION
JENNACUBBINE,GOOMALLING,WHEATBELT,REGIONAL WA REGION
JENNAPULLEN,NORTHAM,WHEATBELT,REGIONAL WA REGION
JENNAPULLIN,NORTHAM,WHEATBELT,REGIONAL WA REGION
JERDACUTTUP,RAVENSTHORPE,GREAT SOUTHERN,REGIONAL WA REGION
JERRAMUNGUP,JERRAMUNGUP,GREAT SOUTHERN,REGIONAL WA REGION
JESSOPS WELL,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JIBBERDING,DALWALLINU,WHEATBELT,REGIONAL WA REGION
JIGALONG,JIGALONG,PILBARA,REGIONAL WA REGION
JIGALONG COMMUNITY INC,JIGALONG,PILBARA,REGIONAL WA REGION
JILAKIN,KULIN,GREAT SOUTHERN,REGIONAL WA REGION
JIMBA JIMBA STATION,GASCOYNE JUNCTION,MID WEST-GASCOYNE,REGIONAL WA REGION
JIMBERLANA STATION,NORSEMAN,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JIMBLEBAR,NULLAGINE,PILBARA,REGIONAL WA REGION
JIMPERDING HILL,TOODYAY,WHEATBELT,REGIONAL WA REGION
JINDALEE,CLARKSON,JOONDALUP,METROPOLITAN REGION NORTH
JINDONG,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
JINGALUP,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
JINGARING,PINGELLY,GREAT SOUTHERN,REGIONAL WA REGION
JINGEMARRA STATION,YALGOO,MID WEST-GASCOYNE,REGIONAL WA REGION
JINGYMIA,KOORDA,WHEATBELT,REGIONAL WA REGION
JITARNING,KULIN,GREAT SOUTHERN,REGIONAL WA REGION
JOHN FORREST NATIONAL PK,MUNDARING,MIDLAND,METROPOLITAN REGION NORTH
JOHNSON ROCKS,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JOLIMONT,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
JONESVILLE,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
JOONACOONAK,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
JOONDALUP,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
JOONDANNA,MORLEY,MIRRABOOKA,METROPOLITAN REGION NORTH
JOSBURY,WILLIAMS,GREAT SOUTHERN,REGIONAL WA REGION
JUBILEE DOWNS,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
JUBUK,CORRIGIN,GREAT SOUTHERN,REGIONAL WA REGION
JULIMAR,TOODYAY,WHEATBELT,REGIONAL WA REGION
JUMPERDINE,TOODYAY,WHEATBELT,REGIONAL WA REGION
JUNA DOWNS,NEWMAN,PILBARA,REGIONAL WA REGION
JUNA DOWNS STATION,NEWMAN,PILBARA,REGIONAL WA REGION
JUNDEE STATION,WILUNA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JUPITER WELL,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
JURAKINE,GOOMALLING,WHEATBELT,REGIONAL WA REGION
JURENDINE,NORTHAM,WHEATBELT,REGIONAL WA REGION
JURIEN,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
JURIEN BAY,JURIEN BAY,MID WEST-GASCOYNE,REGIONAL WA REGION
JUROCKEN,DOWERIN,WHEATBELT,REGIONAL WA REGION
KADATHINNI,THREE SPRINGS,MID WEST-GASCOYNE,REGIONAL WA REGION
KADJI-KADJI STATION,MORAWA,MID WEST-GASCOYNE,REGIONAL WA REGION
KAILIS FISHERIES,EXMOUTH,PILBARA,REGIONAL WA REGION
KALAMUNDA,FORRESTFIELD,MIDLAND,METROPOLITAN REGION NORTH
KALANNIE,DALWALLINU,WHEATBELT,REGIONAL WA REGION
KALBARRI,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
KALBARRI NATIONAL PARK,KALBARRI,MID WEST-GASCOYNE,REGIONAL WA REGION
KALGAN,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KALGAN RIVER,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KALGOORLIE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KALGUDDERING,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
KALGUP,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
KALLAROO,HILLARYS,JOONDALUP,METROPOLITAN REGION NORTH
KALLI STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
KALLUMUP,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KALOORUP,BUSSELTON,SOUTH WEST,REGIONAL WA REGION
KALUMBURU,KALUMBURU,KIMBERLEY,REGIONAL WA REGION
KALUMBURU MISSION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
KALUWIRI STATION,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KALYEEDA STATION,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
KAMBALDA,KAMBALDA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KAMBALDA EAST,KAMBALDA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KAMBALDA WEST,KAMBALDA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KAMBALLUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
KANANDAH STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KANGAN STATION,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
KANGAROO GULLY,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
KANOWNA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KANOWNA STATION,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KARAKIN,LANCELIN,WHEATBELT,REGIONAL WA REGION
KARALUNDI,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
KARARA STATION,PERENJORI,MID WEST-GASCOYNE,REGIONAL WA REGION
KARAWARA,KENSINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
KARBAR STATION,CUE,MID WEST-GASCOYNE,REGIONAL WA REGION
KARDINYA,MURDOCH,FREMANTLE,METROPOLITAN REGION SOUTH
KARIJINI,TOM PRICE,PILBARA,REGIONAL WA REGION
KARIJINI NATIONAL PARK,TOM PRICE,PILBARA,REGIONAL WA REGION
KARLGARIN,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
KARLGARIN HILL,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
KARLKURLA,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KARLONING,MUKINBUDIN,WHEATBELT,REGIONAL WA REGION
KARLOO,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
KARNET,DWELLINGUP,MANDURAH,METROPOLITAN REGION SOUTH
KARNUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
KARONIE,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KARRAGULLEN,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
KARRAKATTA,WEMBLEY,PERTH,METROPOLITAN REGION NORTH
KARRAKIN,QUAIRADING,WHEATBELT,REGIONAL WA REGION
KARRAKUP,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
KARRAMINDIE,COOLGARDIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KARRANADGIN,GOOMALLING,WHEATBELT,REGIONAL WA REGION
KARRATHA,KARRATHA,PILBARA,REGIONAL WA REGION
KARRATHA INDUSTRIAL ESTATE,KARRATHA,PILBARA,REGIONAL WA REGION
KARRATHA STATION,KARRATHA,PILBARA,REGIONAL WA REGION
KARRATHA TOWN CENTRE,KARRATHA,PILBARA,REGIONAL WA REGION
KARRIDALE,AUGUSTA,SOUTH WEST,REGIONAL WA REGION
KARRINYUP,SCARBOROUGH,MIRRABOOKA,METROPOLITAN REGION NORTH
KARROUN HILL,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
KARUNGIE STATION,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
KATANNING,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
KATHLEEN VALLEY,LEINSTER,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KATRINE,NORTHAM,WHEATBELT,REGIONAL WA REGION
KATTERUP,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
KAURING,YORK,WHEATBELT,REGIONAL WA REGION
KEALY,DUNSBOROUGH,SOUTH WEST,REGIONAL WA REGION
KEBARINGUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
KEBARINUP,GNOWANGERUP,GREAT SOUTHERN,REGIONAL WA REGION
KELLERBERRIN,KELLERBERRIN,WHEATBELT,REGIONAL WA REGION
KELLYS COPPER MINE,NULLAGINE,PILBARA,REGIONAL WA REGION
KELMSCOTT,ARMADALE,ARMADALE,METROPOLITAN REGION SOUTH
KEMERTON,AUSTRALIND,SOUTH WEST,REGIONAL WA REGION
KENDENUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
KENINUP,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
KENMARE,KATANNING,GREAT SOUTHERN,REGIONAL WA REGION
KENNEDY GAP,SOUTH HEDLAND,PILBARA,REGIONAL WA REGION
KENNEDY RANGE,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
KENNEDY RANGES,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
KENNINUP,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
KENSINGTON,KENSINGTON,CANNINGTON,METROPOLITAN REGION SOUTH
KENT RIVER,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
KENTDALE,DENMARK,GREAT SOUTHERN,REGIONAL WA REGION
KENWICK,GOSNELLS,ARMADALE,METROPOLITAN REGION SOUTH
KERALUP,MANDURAH,MANDURAH,METROPOLITAN REGION SOUTH
KEWDALE,BELMONT,CANNINGTON,METROPOLITAN REGION SOUTH
KEYSBROOK,MUNDIJONG,ARMADALE,METROPOLITAN REGION SOUTH
KIAKA,MOORA,WHEATBELT,REGIONAL WA REGION
KIARA,KIARA,MIDLAND,METROPOLITAN REGION NORTH
KILCARNUP,MARGARET RIVER,SOUTH WEST,REGIONAL WA REGION
KILLARA STATION,MEEKATHARRA,MID WEST-GASCOYNE,REGIONAL WA REGION
KILLARNEY,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KILTO STATION,BROOME,KIMBERLEY,REGIONAL WA REGION
KIMBERLEY DOWNS STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
KIMBERLEY RESEARCH STATIO,KUNUNURRA,KIMBERLEY,REGIONAL WA REGION
KIMBOLTON,DERBY,KIMBERLEY,REGIONAL WA REGION
KIMBOLTON STATION,DERBY,KIMBERLEY,REGIONAL WA REGION
KINETIC MINING,ONSLOW,PILBARA,REGIONAL WA REGION
KING BAY,DAMPIER,PILBARA,REGIONAL WA REGION
KING LEOPOLD RANGES,FITZROY CROSSING,KIMBERLEY,REGIONAL WA REGION
KING RIVER,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KING RIVER PUMPING STATIO,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
KING ROCK,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
KINGS PARK,PERTH,PERTH,METROPOLITAN REGION NORTH
KINGSFORD,CARNARVON,MID WEST-GASCOYNE,REGIONAL WA REGION
KINGSLEY,WARWICK,JOONDALUP,METROPOLITAN REGION NORTH
KINGSTON,BRIDGETOWN,SOUTH WEST,REGIONAL WA REGION
KINGSTON REST,WYNDHAM,KIMBERLEY,REGIONAL WA REGION
KINKELLA PARK,BUNBURY,SOUTH WEST,REGIONAL WA REGION
KINROSS,JOONDALUP,JOONDALUP,METROPOLITAN REGION NORTH
KINTORE,KINTORE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KINTYRE/CAMP TRACY,LAVERTON,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KIRK ROCK,WICKEPIN,GREAT SOUTHERN,REGIONAL WA REGION
KIRKALOCKA STATION,MOUNT MAGNET,MID WEST-GASCOYNE,REGIONAL WA REGION
KIRUP,DONNYBROOK,SOUTH WEST,REGIONAL WA REGION
KIRWAN,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
KITCHENER,KALGOORLIE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KIWIRRKURRA,KINTORE,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KNAPP HEAD,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KNOBBY HEAD,DONGARA,MID WEST-GASCOYNE,REGIONAL WA REGION
KODJ-KODJIN,BENCUBBIN,WHEATBELT,REGIONAL WA REGION
KOJANEERUP,MOUNT BARKER,GREAT SOUTHERN,REGIONAL WA REGION
KOJANEERUP SOUTH,ALBANY,GREAT SOUTHERN,REGIONAL WA REGION
KOJARENA,GERALDTON,MID WEST-GASCOYNE,REGIONAL WA REGION
KOJONUP,KOJONUP,GREAT SOUTHERN,REGIONAL WA REGION
KOKARDINE,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
KOKEBY,BEVERLEY,WHEATBELT,REGIONAL WA REGION
KONDININ,KONDININ,GREAT SOUTHERN,REGIONAL WA REGION
KONDUT,WONGAN HILLS,WHEATBELT,REGIONAL WA REGION
KONNONGORRING,GOOMALLING,WHEATBELT,REGIONAL WA REGION
KOOJAN,MOORA,WHEATBELT,REGIONAL WA REGION
KOOJEDA,WUNDOWIE,WHEATBELT,REGIONAL WA REGION
KOOKYNIE,LEONORA,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
KOOKYNIE STATION,MENZIES,GOLDFIELDS-ESPERANCE,REGIONAL WA REGION
